Size,Threshold,Random,ReverseSorted,NearlySorted
8700,5,1.116,0.547,0.382
8700,10,1.065,0.559,0.382
8700,15,1.048,0.513,0.378
8700,20,1.048,0.597,0.357
8700,25,1.048,0.584,0.359
8700,30,0.996,0.575,0.356
8700,35,1.061,0.753,0.363
8700,40,0.994,0.814,0.347
8700,45,1.102,0.718,0.344
8700,50,1.025,0.748,0.344
8800,5,1.101,0.540,0.384
8800,10,1.114,0.614,0.473
8800,15,1.260,0.598,0.378
8800,20,1.044,0.603,0.373
8800,25,1.055,0.604,0.637
8800,30,1.075,0.603,0.373
8800,35,1.050,0.754,0.353
8800,40,1.030,0.751,0.357
8800,45,1.052,0.744,0.373
8800,50,1.061,0.758,0.384
8900,5,1.157,0.541,0.391
8900,10,1.104,0.560,0.417
8900,15,1.080,0.561,0.390
8900,20,1.049,0.629,0.411
8900,25,1.079,0.614,0.382
8900,30,1.043,0.629,0.376
8900,35,1.119,0.855,0.390
8900,40,1.107,0.792,0.358
8900,45,1.123,0.802,0.368
8900,50,1.057,0.783,0.383
9000,5,1.179,0.640,0.386
9000,10,1.111,0.560,0.394
9000,15,1.090,0.543,0.384
9000,20,1.082,0.608,0.386
9000,25,1.063,0.639,0.371
9000,30,1.552,0.651,0.655
9000,35,1.474,0.918,0.399
9000,40,1.736,0.853,0.393
9000,45,1.235,0.857,0.390
9000,50,1.177,0.846,0.395
9100,5,1.302,0.688,0.449
9100,10,1.226,0.627,0.454
9100,15,1.110,0.559,0.393
9100,20,1.116,0.614,0.372
9100,25,1.056,0.647,0.367
9100,30,1.058,0.626,0.368
9100,35,1.067,0.679,0.385
9100,40,1.058,0.835,0.375
9100,45,1.067,0.790,0.353
9100,50,1.085,0.772,0.355
9200,5,1.155,0.559,0.389
9200,10,1.088,0.545,0.392
9200,15,1.109,0.577,0.398
9200,20,1.105,0.616,0.367
9200,25,1.059,0.619,0.435
9200,30,1.159,0.630,0.367
9200,35,1.095,0.649,0.389
9200,40,1.095,0.869,0.385
9200,45,1.111,0.778,0.364
9200,50,1.092,0.821,0.358
9300,5,1.190,0.552,0.402
9300,10,1.121,0.565,0.405
9300,15,1.123,0.562,0.401
9300,20,1.086,0.626,0.396
9300,25,1.082,0.654,0.388
9300,30,1.202,0.644,0.397
9300,35,1.119,0.657,0.395
9300,40,1.130,0.793,0.373
9300,45,1.123,0.826,0.374
9300,50,1.123,0.819,0.373
9400,5,1.195,0.582,0.406
9400,10,1.140,0.571,0.403
9400,15,1.119,0.587,0.413
9400,20,1.092,0.638,0.394
9400,25,1.159,0.632,0.401
9400,30,1.089,0.627,0.399
9400,35,1.080,0.649,0.448
9400,40,1.180,0.832,0.386
9400,45,1.127,0.820,0.377
9400,50,1.121,0.827,0.377
9500,5,1.192,0.596,0.413
9500,10,1.146,0.625,0.402
9500,15,1.137,0.577,0.404
9500,20,1.109,0.648,0.385
9500,25,1.135,0.714,0.434
9500,30,1.107,0.723,0.404
9500,35,1.158,0.747,0.419
9500,40,1.156,0.882,0.389
9500,45,1.149,0.857,0.409
9500,50,1.184,0.856,0.404
9600,5,1.242,0.600,0.435
9600,10,1.190,0.610,0.419
9600,15,1.179,0.629,0.423
9600,20,1.144,0.693,0.404
9600,25,1.140,0.692,0.407
9600,30,1.137,0.689,0.405
9600,35,1.213,0.671,0.467
9600,40,1.180,0.878,0.389
9600,45,1.168,0.882,0.391
9600,50,1.169,0.849,0.390
9700,5,1.252,0.594,0.432
9700,10,1.229,0.617,0.432
9700,15,1.197,0.679,0.419
9700,20,1.153,0.686,0.400
9700,25,1.236,0.698,0.405
9700,30,1.169,0.698,0.399
9700,35,1.150,0.685,0.399
9700,40,1.168,0.883,0.386
9700,45,1.158,0.880,0.395
9700,50,1.176,0.871,0.396
9800,5,1.267,0.609,0.454
9800,10,1.194,0.611,0.427
9800,15,1.206,0.652,0.432
9800,20,1.166,0.706,0.431
9800,25,1.175,0.697,0.414
9800,30,1.189,0.711,0.453
9800,35,1.266,0.696,0.406
9800,40,1.261,0.884,0.436
9800,45,1.188,0.884,0.396
9800,50,1.185,0.885,0.392
9900,5,1.314,0.618,0.448
9900,10,1.250,0.656,0.422
9900,15,1.212,0.617,0.440
9900,20,1.177,0.739,0.425
9900,25,1.192,0.702,0.411
9900,30,1.211,0.707,0.406
9900,35,1.185,0.690,0.405
9900,40,1.210,0.891,0.396
9900,45,1.191,0.975,0.391
9900,50,1.212,0.889,0.387
10000,5,1.306,0.626,0.435
10000,10,1.274,0.624,0.429
10000,15,1.223,0.668,0.428
10000,20,1.207,0.751,0.454
10000,25,1.200,0.717,0.412
10000,30,1.219,0.711,0.415
10000,35,1.206,0.730,0.435
10000,40,1.233,0.908,0.450
10000,45,1.238,0.903,0.415
10000,50,1.220,0.999,0.416
