Size,Threshold,Random,ReverseSorted,NearlySorted
2100,35,0.214,0.160,0.065
2100,40,0.222,0.154,0.066
2100,45,0.195,0.151,0.064
2100,50,0.219,0.159,0.063
2200,5,0.230,0.120,0.075
2200,10,0.211,0.114,0.077
2200,15,0.228,0.115,0.076
2200,20,0.203,0.126,0.075
2200,25,0.206,0.126,0.079
2200,30,0.201,0.143,0.075
2200,35,0.203,0.163,0.067
2200,40,0.207,0.165,0.068
2200,45,0.202,0.180,0.067
2200,50,0.212,0.173,0.075
2300,5,0.239,0.121,0.074
2300,10,0.234,0.125,0.074
2300,15,0.222,0.128,0.075
2300,20,0.223,0.155,0.071
2300,25,0.217,0.133,0.069
2300,30,0.213,0.135,0.069
2300,35,0.215,0.152,0.069
2300,40,0.217,0.177,0.066
2300,45,0.225,0.206,0.068
2300,50,0.222,0.176,0.066
2400,5,0.246,0.122,0.082
2400,10,0.234,0.138,0.088
2400,15,0.235,0.123,0.084
2400,20,0.222,0.144,0.079
2400,25,0.223,0.151,0.078
2400,30,0.227,0.157,0.099
2400,35,0.257,0.146,0.078
2400,40,0.238,0.198,0.076
2400,45,0.227,0.204,0.077
2400,50,0.238,0.193,0.082
2500,5,0.262,0.133,0.084
2500,10,0.245,0.145,0.083
2500,15,0.249,0.134,0.082
2500,20,0.237,0.155,0.082
2500,25,0.235,0.185,0.077
2500,30,0.249,0.158,0.077
2500,35,0.239,0.166,0.078
2500,40,0.241,0.210,0.076
2500,45,0.242,0.201,0.078
2500,50,0.239,0.202,0.074
2600,5,0.265,0.145,0.094
2600,10,0.305,0.143,0.097
2600,15,0.258,0.139,0.091
2600,20,0.253,0.165,0.089
2600,25,0.249,0.160,0.087
2600,30,0.246,0.158,0.088
2600,35,0.252,0.164,0.086
2600,40,0.290,0.180,0.087
2600,45,0.264,0.242,0.102
2600,50,0.260,0.215,0.082
2700,5,0.296,0.139,0.095
2700,10,0.276,0.142,0.104
2700,15,0.266,0.145,0.094
2700,20,0.277,0.149,0.094
2700,25,0.273,0.175,0.090
2700,30,0.255,0.169,0.091
2700,35,0.253,0.167,0.099
2700,40,0.255,0.195,0.087
2700,45,0.268,0.234,0.084
2700,50,0.278,0.232,0.083
2800,5,0.299,0.146,0.103
2800,10,0.292,0.155,0.101
2800,15,0.277,0.161,0.100
2800,20,0.287,0.150,0.101
2800,25,0.266,0.177,0.097
2800,30,0.267,0.176,0.095
2800,35,0.292,0.190,0.096
2800,40,0.270,0.186,0.099
2800,45,0.293,0.257,0.090
2800,50,0.284,0.249,0.088
2900,5,0.318,0.155,0.102
2900,10,0.305,0.153,0.103
2900,15,0.296,0.172,0.101
2900,20,0.307,0.164,0.101
2900,25,0.284,0.203,0.094
2900,30,0.279,0.217,0.095
2900,35,0.308,0.210,0.095
2900,40,0.284,0.202,0.106
2900,45,0.294,0.235,0.091
2900,50,0.311,0.260,0.103
3000,5,0.345,0.165,0.108
3000,10,0.316,0.154,0.107
3000,15,0.365,0.184,0.104
3000,20,0.328,0.168,0.104
3000,25,0.295,0.205,0.098
3000,30,0.320,0.197,0.120
3000,35,0.294,0.214,0.102
3000,40,0.306,0.195,0.098
3000,45,0.292,0.194,0.102
3000,50,0.303,0.274,0.093
3100,5,0.342,0.180,0.134
3100,10,0.330,0.172,0.110
3100,15,0.310,0.171,0.106
3100,20,0.328,0.175,0.109
3100,25,0.301,0.211,0.110
3100,30,0.297,0.221,0.107
3100,35,0.297,0.206,0.102
3100,40,0.311,0.211,0.106
3100,45,0.332,0.206,0.103
3100,50,0.337,0.284,0.095
3200,5,0.362,0.186,0.118
3200,10,0.357,0.171,0.119
3200,15,0.333,0.186,0.116
3200,20,0.356,0.183,0.114
3200,25,0.315,0.233,0.110
3200,30,0.340,0.230,0.108
3200,35,0.316,0.216,0.113
3200,40,0.316,0.214,0.108
3200,45,0.323,0.219,0.109
3200,50,0.342,0.304,0.103
3300,5,0.378,0.180,0.124
3300,10,0.350,0.175,0.124
3300,15,0.342,0.188,0.122
3300,20,0.330,0.195,0.121
3300,25,0.342,0.193,0.118
3300,30,0.324,0.230,0.113
3300,35,0.337,0.225,0.114
3300,40,0.326,0.229,0.116
3300,45,0.363,0.227,0.117
3300,50,0.321,0.225,0.112
3400,5,0.404,0.190,0.145
3400,10,0.362,0.184,0.123
3400,15,0.350,0.193,0.119
3400,20,0.338,0.211,0.120
3400,25,0.340,0.198,0.118
3400,30,0.345,0.237,0.118
3400,35,0.338,0.234,0.115
3400,40,0.333,0.261,0.114
3400,45,0.338,0.250,0.116
3400,50,0.344,0.241,0.114
3500,5,0.392,0.192,0.136
3500,10,0.378,0.194,0.160
3500,15,0.357,0.208,0.126
3500,20,0.354,0.259,0.126
3500,25,0.355,0.208,0.123
3500,30,0.360,0.260,0.121
3500,35,0.384,0.259,0.125
3500,40,0.354,0.245,0.120
3500,45,0.363,0.247,0.120
3500,50,0.357,0.247,0.119
3600,5,0.409,0.198,0.163
3600,10,0.398,0.192,0.140
3600,15,0.366,0.246,0.136
3600,20,0.364,0.217,0.133
3600,25,0.360,0.209,0.132
3600,30,0.371,0.260,0.127
3600,35,0.368,0.260,0.129
3600,40,0.369,0.258,0.128
3600,45,0.373,0.259,0.136
3600,50,0.367,0.265,0.129
3700,5,0.419,0.216,0.140
3700,10,0.397,0.201,0.143
3700,15,0.374,0.227,0.139
3700,20,0.384,0.218,0.135
3700,25,0.384,0.231,0.136
3700,30,0.371,0.289,0.127
3700,35,0.380,0.276,0.134
3700,40,0.372,0.265,0.131
3700,45,0.380,0.275,0.128
3700,50,0.387,0.410,0.191
3800,5,0.448,0.213,0.135
3800,10,0.434,0.208,0.146
3800,15,0.386,0.223,0.135
3800,20,0.387,0.245,0.137
3800,25,0.390,0.234,0.132
3800,30,0.397,0.279,0.125
